,agency_id,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,lat_lon,stop_url,location_type,parent_station,wheelchair_boarding,version
0,11,N/A,817564,Carpenter Rd & Ohara Ave,N/A,37.975943,-121.714371,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=2,0,0,0,
1,11,N/A,817572,Brown Rd & Neroly Rd,N/A,37.969541,-121.72166499999999,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=3,0,0,0,
2,11,N/A,817586,Neroly Rd & Brown Rd,N/A,37.968965000000004,-121.72005,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=4,0,0,0,
3,11,N/A,817555,Ohara Ave & Atherton Blvd,N/A,37.966732,-121.714266,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=5,0,0,0,
4,11,N/A,817540,Lone Tree Wy & Giannini Rnch,N/A,37.961801,-121.729459,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=6,0,0,0,
5,11,N/A,818787,Lone Tree Wy & Empire Ave,N/A,37.961776,-121.73334799999999,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=7,0,0,0,
6,11,N/A,817529,Lone Tree Wy & Slatten Ranch Rd,N/A,37.96181,-121.73786499999999,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=8,0,0,0,
7,11,N/A,817517,Lone Tree Wy & Hwy 4,N/A,37.961827,-121.745516,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=9,0,0,0,
8,11,N/A,817501,Lone Tree Wy & Canada Valley Rd,N/A,37.961859999999994,-121.74854599999999,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=10,0,0,0,
9,11,N/A,817490,Lone Tree Wy & Vista Grande Dr,N/A,37.961874,-121.755946,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=11,0,0,0,
10,11,N/A,817488,Lone Tree Wy & Hillcrest Ave,N/A,37.961863,-121.76147399999999,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=12,0,0,0,
11,11,N/A,817474,Lone Tree Wy & Prewett Prk,N/A,37.964789,-121.77586799999999,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=13,0,0,0,
12,11,N/A,817461,Deer Valley Rd & Lone Tree Wy,N/A,37.966433,-121.77986100000001,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=14,0,0,0,
13,11,N/A,817457,Deer Valley Rd & Country Hills Dr,N/A,37.971582,-121.78251499999999,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=15,0,0,0,
14,11,N/A,817593,Ohara Ave & Covered Wagon Dr,N/A,37.989549,-121.713867,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=16,0,0,0,
15,11,N/A,817636,West Cypress Rd & Ohara Ave,N/A,37.990469,-121.713567,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=17,0,0,0,
16,11,N/A,817615,West Cypress Rd & Rose Ave,N/A,37.990534999999994,-121.704637,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=18,0,0,0,
17,11,N/A,817658,West Cypress Rd & Alder Dr,N/A,37.990606,-121.72590100000001,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=19,0,0,0,
18,11,N/A,817662,West Cypress Rd & Lorenzetti Dr,N/A,37.990606,-121.722126,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=20,0,0,0,
19,11,N/A,817627,West Cypress Rd & Orchard Prk Dr,N/A,37.9905,-121.71133799999998,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=21,0,0,0,
20,11,N/A,817604,West Cypress Rd & Fall Ln,N/A,37.990528999999995,-121.699459,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=22,0,0,0,
21,11,N/A,817670,Vintage Pky & Main St,N/A,37.998816,-121.719001,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=23,0,0,0,
22,11,N/A,813709,West Cypress Rd & Ponderosa Wy,N/A,37.990491999999996,-121.72676799999999,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=24,0,0,0,
23,11,N/A,813692,West Cypress Rd & Lorenzetti Dr,N/A,37.990489000000004,-121.722039,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=25,0,0,0,
24,11,N/A,813659,Empire Ave & Sauterne Wy,N/A,37.992385,-121.73223700000001,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=27,0,0,0,
25,11,N/A,813713,West Cypress Rd & Ohara Ave,N/A,37.990606,-121.713793,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=28,0,0,0,
26,11,N/A,813721,West Cypress Rd & Orchard Prk Dr,N/A,37.990624,-121.711095,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=29,0,0,0,
27,11,N/A,813732,West Cypress Rd & Rose Ave,N/A,37.990646000000005,-121.704777,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=30,0,0,0,
28,11,N/A,813745,West Cypress Rd & Mellowood Dr,N/A,37.99067,-121.69991999999999,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=31,0,0,0,
29,11,N/A,818760,Empire Ave & Gamay Dr,N/A,37.994319,-121.732229,,http://70.232.147.132/RTT/Public/RoutePositionET.aspx?PlatformTag=32,0,0,0,
